year,gdp per capita
1990,1730.36894499325
1991,1756.33262434421
1992,1818.15076512284
1993,1867.7809380996
1994,1903.58083168198
1995,1964.06112590842
1996,2017.21352652899
1997,2070.43744624471
1998,2137.15004349644
1999,2194.52647626906
2000,2267.07534755879
2001,2337.36458346569
2002,2382.28147136915
2003,2451.99023241347
2004,2537.95071423142
2005,2663.09625700318
2006,2806.59269062211
2007,2973.28132489974
2008,3124.22679727975
2009,3253.0913365599
2010,3395.36478736678
2011,3571.0586470603
2012,3756.93193253282
2013,3932.70833031603
2014,4119.42463946452
2015,4337.38590209077
2016,4589.09353174608
2017,4830.7760826813
2018,5124.49875458782
2019,5467.20752090206
2020,5591.37377818814
2021,5911.01299624227
2022,6263.00464871693
